SAEMP25N Total full-time and part-time employment by NAICS industry 1/
SAEMP25N Total full-time and part-time employment by NAICS industry 1/
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
34000,New Jersey,3897530,3962188,4125661,4145761,4147611,4171772,4244088,4318829,4384151,4456555,4448888,4317060,4296393,4378282,4418302,4497403,4571942,4672108,4760985,4817835,4920116,4938904,4714902,4933816
35000,New Mexico,715666,721518,740685,746987,753811,766557,786842,808203,842035,867676,867481,830703,816910,823130,827038,835402,845767,854472,854231,860327,875757,880991,839465,860781
36000,New York,8400624,8646106,8880013,8894174,8778344,8811540,8959697,9094835,9255148,9511711,9606505,9393528,9423799,9753117,9913194,10106347,10357677,10592103,10747156,10875573,11100173,11184005,10358132,10694292
37000,North Carolina,3904052,3988441,4067387,4026669,4001287,4003195,4103222,4229920,4383333,4540682,4499658,4292955,4247702,4364217,4432875,4512830,4650758,4775212,4906422,4999462,5136289,5218374,5140971,5370383
38000,North Dakota,320354,322065,327023,330948,330134,332797,341043,349577,359308,369310,379254,378170,387382,413286,448759,467719,488595,480189,459109,455956,461450,463614,442739,447439
39000,Ohio,5696799,5774371,5865417,5793049,5707518,5688650,5738479,5790278,5831208,5875172,5811687,5546383,5512363,5632878,5719115,5801201,5895034,5977953,6037432,6093047,6170673,6173295,5983870,6147214
40000,Oklahoma,1520754,1532259,1563746,1573104,1553987,1547025,1567144,1605481,1651320,1696309,1727625,1669462,1664107,1703287,1760189,1792945,1820331,1837877,1835588,1842818,1866708,1854828,1815949,1846223
41000,Oregon,1692704,1713481,1748634,1733173,1721063,1740129,1792989,1854292,1912572,1961911,1939307,1834365,1818680,1849880,1877968,1921300,1982252,2049645,2103448,2159645,2208703,2217575,2145096,2201646
42000,Pennsylvania,5814193,5915283,6034449,6039549,5998145,5983970,6063145,6166770,6265394,6378582,6388803,6207573,6222210,6338441,6418912,6485125,6579574,6661117,6741651,6813341,6923629,6932415,6591249,6800694
44000,Rhode Island,478479,490192,504898,506980,509146,514839,524226,528799,534786,541157,532776,513396,511736,517837,519955,529013,539662,553393,558740,564464,574030,574189,541032,564308
45000,South Carolina,1792989,1834318,1864613,1846284,1838611,1855405,1899934,1946729,2003193,2063234,2042767,1935435,1930801,2006350,2029330,2072312,2136688,2201833,2264551,2321257,2408886,2441690,2391096,2475693
46000,South Dakota,376274,386333,396379,394965,395432,397322,405045,414729,426856,439744,446895,440455,440023,448167,456584,463211,471347,476750,481506,483651,492634,492019,488125,503470
47000,Tennessee,2827382,2879061,2932706,2893993,2881846,2904966,2978666,3047980,3117662,3173916,3143376,2994811,2983187,3060209,3113176,3168803,3253325,3341142,3432415,3509846,3592465,3638044,3596151,3725550
48000,Texas,9601894,9800540,10134515,10254176,10236195,10308741,10528015,10919631,11386666,11860823,12165749,11943169,11976597,12424286,12859355,13282735,13743365,14130106,14364402,14767235,15261742,15539503,15343374,15916970
49000,Utah,1096261,1120678,1156346,1164138,1163199,1171878,1217196,1278724,1351706,1432118,1440391,1383036,1366353,1404824,1444489,1491446,1540825,1601022,1662147,1716714,1787794,1815157,1848195,1937761
50000,Vermont,322316,329592,338561,341108,341704,341848,349276,353104,356932,360268,358641,348300,347013,350454,354778,357421,361047,364779,366257,368780,370768,366644,345159,356297
51000,Virginia,3329548,3412500,3530820,3548925,3541313,3584065,3696391,3807121,3879465,3960178,3947902,3834345,3815040,3881287,3933983,3976999,4029357,4134595,4214947,4291211,4377576,4406523,4324822,4448564
53000,Washington,2758997,2810761,2883405,2865343,2823810,2844666,2917043,3013024,3120002,3240766,3246438,3103585,3057465,3108476,3199853,3286715,3387672,3486645,3586576,3695461,3799383,3841100,3705290,3824395
54000,West Virginia,695110,695033,700746,700449,698356,695624,706332,718399,730332,737620,739304,717324,715225,726105,735047,733994,732096,725100,710397,710808,721460,705551,669012,686255
55000,Wisconsin,2781722,2837335,2894370,2881593,2871017,2886113,2944471,2991008,3028792,3063855,3047885,2918808,2899306,2951805,2980932,3016509,3063141,3105955,3135338,3162027,3199545,3197821,3080329,3162612
56000,Wyoming,235304,240075,247001,252401,254638,257504,264008,274357,290646,305672,314596,300764,296953,301560,307060,310767,316876,315715,307429,309090,315958,318586,313415,320988
91000,New England,7319576,7454003,7656316,7668211,7605056,7600429,7728175,7818810,7910175,8068265,8062212,7831457,7787985,7910950,8017056,8166225,8306064,8553964,8673535,8772243,8896757,8890348,8454612,8773589
92000,Mideast,21379457,21891132,22524480,22590013,22460644,22543328,22931995,23323654,23725414,24245477,24328265,23700598,23701459,24301617,24637514,25059695,25550207,26061055,26462236,26771106,27290441,27401797,25836513,26706681
93000,Great Lakes,22339500,22678649,23108562,22822308,22546062,22500877,22748141,23009421,23215069,23456566,23194772,22097652,21998616,22528971,22854988,23191111,23595312,23999154,24263428,24478193,24791852,24774234,23756919,24473983
94000,Plains,9998484,10152923,10321813,10316336,10269763,10286629,10445072,10629031,10825632,11026678,11028592,10705100,10624990,10830277,11005886,11187834,11368725,11528479,11620814,11691940,11821995,11808098,11446499,11728807
95000,Southeast,31468942,32199554,32977454,32896004,32891753,33238041,34185265,35242948,36243083,37053384,36609981,35113263,34941618,35841727,36447577,37200362,38279071,39367976,40239997,41161832,42323566,42819169,42165715,43759117
96000,Southwest,14069492,14357316,14832050,14983771,14960273,15096476,15475387,16097540,16794988,17411807,17677322,17190799,17161593,17718189,18267374,18805203,19382022,19894531,20221530,20730836,21376394,21715332,21436331,22204355
97000,Rocky Mountain,4647118,4766188,4939678,4981896,4956922,4972416,5114501,5311137,5525284,5766019,5790995,5565411,5500476,5620424,5739510,5902439,6091000,6282797,6451069,6621270,6836211,6913191,6889868,7183338
98000,Far West,21987631,22440535,22956447,23049661,22925627,23170304,23775164,24427859,25062955,25620504,25303761,24126420,23876963,24410545,25282795,26112231,26963399,27837844,28486291,29051680,29798984,29994031,28592143,29676730

Legend/Footnotes
1/ The estimates of employment for 1998-2006 are based on the 2002 North American Industry Classification System (NAICS). The estimates for 2007-2010 are based on the 2007 NAICS. The estimates for 2011-2016 are based on the 2012 NAICS. The estimates for 2017 forward are based on the 2017 NAICS.
"  Last updated: September 30, 2022-- new statistics for 2021; revised statistics for 2017-2020."
