SAEMP25N Total full-time and part-time employment by NAICS industry 1/
SAEMP25N Total full-time and part-time employment by NAICS industry 1/
State or DC
GeoFips,GeoName,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
40000,Oklahoma,234200,237825,241837,248643,252849,248605,255312,265874,273744,278849,284983,294772,290467,284959,283407,287767,289254,291162,289862,287072,284389,290481,281852,278914
41000,Oregon,220233,226263,233765,236316,228517,224143,228709,232362,235048,236700,242272,244375,245036,242494,239009,235724,238243,242897,246909,250287,253425,256531,245652,248252
42000,Pennsylvania,605476,613040,629218,643063,656698,663750,665804,667605,668832,668061,674938,680175,677797,666995,650881,655790,650218,643566,641469,641281,638082,640878,622939,617525
44000,Rhode Island,54817,55406,56418,57714,58630,58969,58496,58006,57856,57906,57201,55838,55118,54654,53833,53986,54327,54393,54595,54288,54992,56849,54477,54564
45000,South Carolina,278595,286562,293663,293821,294183,295499,292538,299288,304161,307578,315002,314962,309309,305505,308323,311737,315391,319703,321079,323401,323766,330913,322318,318404
46000,South Dakota,56980,57786,58331,59899,59768,60132,60694,60944,61221,61339,62422,64228,65030,64765,64147,64637,65172,65111,65733,66657,66836,67309,65426,66969
47000,Tennessee,329954,336421,341993,349062,355492,357677,364443,364974,369844,373903,380234,377747,380427,379444,376000,375096,373963,371074,373544,376759,381383,384412,377266,375308
48000,Texas,1309049,1337274,1367877,1393493,1429450,1450661,1457248,1484181,1503362,1519493,1559497,1602371,1625564,1605078,1585865,1599553,1619180,1643934,1675607,1690193,1696163,1714328,1695219,1699929
49000,Utah,147209,150823,154996,157320,159610,160807,165096,167290,169520,173070,176595,178178,179518,185856,189334,189989,192121,193341,198061,204197,208329,212906,209968,214535
50000,Vermont,39340,40612,42140,43002,43654,43837,44452,45367,45995,46283,46414,46326,46289,46461,46797,46820,47210,46982,46959,46760,46748,46722,43902,44084
51000,Virginia,449828,461788,473204,483886,489214,489912,499594,509635,517884,524597,535025,535597,530766,533143,536465,535687,537924,537248,540940,544109,548710,554846,527363,526006
53000,Washington,401760,412203,421195,431122,441771,444540,448764,453480,458368,463805,475328,476943,475085,470907,465362,467044,473300,480102,489874,500697,509727,515895,496521,497109
54000,West Virginia,118237,118723,119185,117223,118952,118775,119667,119409,119772,122495,123473,125416,127876,128086,129577,125533,124213,123694,124145,122183,120870,120597,115751,116477
55000,Wisconsin,355767,361264,366632,373490,378658,380664,379573,377875,379238,380831,384626,388489,389320,387081,388058,389002,391285,389367,394054,390788,391918,391702,373841,376944
56000,Wyoming,49089,49836,51324,51962,52692,53340,54064,54882,55088,56788,57929,59859,60643,61060,61976,62103,61965,62468,62701,61312,60452,61069,59770,59874
